,,2025,,,,2024,,,,2023,,,,2022,,,
Lineage (Common Name),Species,Zone_1_2025 MS_Ler,Zone_2A_2025 MS_Ler,Zone_2B_2025 MS_Ler,Zone_3_2025 MS_Ler,Zone_1_2024 MS_Ler,Zone_2A_2024 MS_Ler,Zone_2B_2024 MS_Ler,Zone_3_2024 MS_Ler,Zone_1_2023 NS_LerXT,Zone_2A_2023 NS_LerXT,Zone_2B_2023 NS_LerXT,Zone_3_2023 NS_LerXT,Zone_1_2022 NS_LerXT,Zone_2A_2022 NS_LerXT,Zone_2B_2022 NS_LerXT,Zone_3_2022 NS_LerXT
k__Metazoa;p__Annelida;c__Polychaeta;o__Phyllodocida;f__Nereididae;g__Alitta;s__Alitta virens (sandworms),Alitta virens,83,42,28,6,461,358,55,151,6,11,0,0,0,0,0,0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Obeliidae;g__Obelia;s__Obelia dichotoma (sea thread hydroid),Obelia dichotoma,118,14,0,0,383,196,6,7,43,38,13,21,174,0,0,0
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Clausocalanidae;g__Pseudocalanus;s__Pseudocalanus moultoni (copepods),Pseudocalanus moultoni,0,0,0,0,0,0,0,0,631,0,0,25,0,144,0,213
k__Metazoa;p__Arthropoda;c__Thecostraca;o__Balanomorpha;f__Balanidae;g__Semibalanus;s__Semibalanus balanoides (northern acorn barnacle),Semibalanus balanoides,25,22,18,15,5,66,26,58,65,235,227,68,22,61,19,12
"k__Metazoa;p__Arthropoda;c__Malacostraca;o__Amphipoda;f__Corophiidae;g__Corophium;s__Corophium volutator (beach hoppers, scuds and well shrimps)",Corophium volutator,162,10,0,4,304,103,0,3,0,8,0,19,259,4,0,0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Obeliidae;g__Laomedea;s__Laomedea flexuosa (hydrozoans),Laomedea flexuosa,468,0,9,12,2,3,0,0,49,12,176,0,0,0,0,0
k__Metazoa;p__Mollusca;c__Gastropoda;o__Nudibranchia;f__Polyceridae;g__Palio;s__Palio dubia (gastropods),Palio dubia,0,0,0,0,0,0,0,0,0,0,0,0,0,432,6,10
k__Metazoa;p__Mollusca;c__Bivalvia;o__Venerida;f__Mactridae;g__Spisula;s__Spisula solidissima (Atlantic surf clam),Spisula solidissima,0,0,0,0,0,0,0,0,0,129,0,13,0,51,67,183
k__Metazoa;p__Arthropoda;c__Malacostraca;o__Decapoda;f__Carcinidae;g__Carcinus;s__Carcinus maenas (green crab),Carcinus maenas,32,15,2,4,112,140,5,11,27,19,0,0,51,3,0,10
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Obeliidae;g__Obelia;s__Obelia geniculata (knotted thread hydroid),Obelia geniculata,0,21,42,0,0,0,45,11,0,4,0,32,0,0,7,202
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Clausocalanidae;g__Microcalanus;s__Microcalanus pusillus (copepods),Microcalanus pusillus,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Annelida;c__Clitellata;o__Tubificida;f__Naididae;g__Tubificoides;s__Tubificoides benedii (sludge worms),Tubificoides benedii,16,0,0,0,23,181,0,4,8,27,0,69,17,0,0,0
k__Metazoa;p__Annelida;c__Polychaeta;o__;f__Maldanidae;g__Clymenella;s__Clymenella torquata (bamboo worm),Clymenella torquata,174,43,9,0,16,59,13,22,0,0,0,0,0,0,0,0
k__Metazoa;p__Porifera;c__Demospongiae;o__Suberitida;f__Halichondriidae;g__Halichondria;s__Halichondria panicea (sponges),Halichondria panicea,17,8,18,0,29,73,30,21,16,8,36,36,13,0,13,0
k__Metazoa;p__Annelida;c__Polychaeta;o__Terebellida;f__Terebellidae;g__Pista;s__Pista maculata (polychaetes),Pista maculata,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Clausocalanidae;g__Clausocalanus;s__Clausocalanus pergens (copepods),Clausocalanus pergens,0,0,0,0,0,0,0,0,0,0,0,0,32,225,0,39
k__Metazoa;p__Chordata;c__Actinopteri;o__;f__Moronidae;g__Morone;s__Morone saxatilis (striped sea-bass),Morone saxatilis,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Catostomidae;g__Catostomus;s__Catostomus commersonii (white sucker),Catostomus commersonii,0,0,0,0,0,0,0,0,200,0,5,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Osmeridae;g__Osmerus;s__Osmerus mordax (rainbow smelt),Osmerus mordax,68,6,0,6,25,43,18,0,14,6,0,0,10,5,0,0
k__Metazoa;p__Annelida;c__Polychaeta;o__Spionida;f__Spionidae;g__Marenzelleria;s__Marenzelleria viridis (polychaetes),Marenzelleria viridis,24,0,0,0,150,0,0,0,0,8,0,13,0,0,0,0
k__Metazoa;p__Annelida;c__Polychaeta;o__Terebellida;f__Terebellidae;g__Nicolea;s__Nicolea zostericola (polychaetes),Nicolea zostericola,0,60,18,21,0,5,33,15,0,0,0,0,0,0,26,14
k__Metazoa;p__Mollusca;c__Gastropoda;o__Littorinimorpha;f__Littorinidae;g__Littorina;s__Littorina obtusata (gastropods),Littorina obtusata,14,0,0,0,4,25,26,8,0,0,81,14,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Brevoortia;s__Brevoortia tyrannus (Atlantic menhaden),Brevoortia tyrannus,0,2,21,0,27,5,3,5,9,18,69,9,0,0,0,0
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Ctenostomatida;f__Vesiculariidae;g__Amathia;s__Amathia gracilis (bryozoans),Amathia gracilis,15,0,0,3,0,10,9,4,0,0,54,65,0,0,0,7
k__Metazoa;p__Mollusca;c__Gastropoda;o__Littorinimorpha;f__Littorinidae;g__Littorina;s__Littorina littorea (gastropods),Littorina littorea,0,0,0,0,9,75,6,9,5,0,6,41,0,0,0,0
k__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Phocoenidae;g__Phocoena;s__Phocoena phocoena (harbor porpoise),Phocoena phocoena,4,3,0,0,100,4,0,21,0,0,0,0,0,0,0,0
k__Metazoa;p__Mollusca;c__Bivalvia;o__Cardiida;f__Cardiidae;g__Parvicardium;s__Parvicardium pinnulatum (bivalves),Parvicardium pinnulatum,0,0,0,0,0,0,0,0,0,0,42,85,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Atheriniformes;f__Atherinopsidae;g__Menidia;s__Menidia menidia (Atlantic silverside),Menidia menidia,11,13,0,0,55,33,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Siphonophorae;f__Agalmatidae;g__Nanomia;s__Nanomia cara (siphonophores),Nanomia cara,3,4,5,5,3,0,3,0,0,0,0,0,29,34,5,19
k__Metazoa;p__Chordata;c__Actinopteri;o__Scombriformes;f__Scombridae;g__Scomber;s__Scomber scombrus (Atlantic mackerel),Scomber scombrus,0,0,0,0,0,60,6,39,0,0,0,0,0,0,0,0
k__Metazoa;p__Echinodermata;c__Echinoidea;o__Camarodonta;f__Strongylocentrotidae;g__Strongylocentrotus;s__Strongylocentrotus droebachiensis (green sea urchin),Strongylocentrotus droebachiensis,0,0,0,0,11,18,40,19,0,0,0,0,0,0,10,3
k__Metazoa;p__Echinodermata;c__Asteroidea;o__Forcipulatida;f__Asteriidae;g__Leptasterias;s__Leptasterias littoralis (six-rayed sea stars),Leptasterias littoralis,0,2,7,0,0,11,10,0,0,0,43,14,0,0,0,0
k__Metazoa;p__Annelida;c__Polychaeta;o__Terebellida;f__Trichobranchidae;g__Terebellides;s__Terebellides stroemii (polychaetes),Terebellides stroemii,0,0,0,0,0,0,0,0,0,10,25,50,0,0,0,0
k__Metazoa;p__Mollusca;c__Bivalvia;o__Pectinida;f__Pectinidae;g__Placopecten;s__Placopecten magellanicus (sea scallop),Placopecten magellanicus,0,0,0,0,0,0,0,0,0,13,34,33,0,0,0,0
k__Metazoa;p__Mollusca;c__Bivalvia;o__Myida;f__Myidae;g__Mya;s__Mya arenaria (softshell),Mya arenaria,12,0,0,0,5,20,0,3,0,37,0,0,0,0,0,0
k__Metazoa;p__Annelida;c__Polychaeta;o__Phyllodocida;f__Nereididae;g__Hediste;s__Hediste diversicolor (sandworms),Hediste diversicolor,6,0,0,4,0,0,0,0,25,3,0,0,33,0,0,0
k__Metazoa;p__Mollusca;c__Gastropoda;o__Littorinimorpha;f__Lacunidae;g__Lacuna;s__Lacuna vincta (gastropods),Lacuna vincta,0,6,0,4,0,0,0,0,0,0,58,0,0,0,0,0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Campanulariidae;g__Calycella;s__Calycella syringa (hydrozoans),Calycella syringa,0,7,0,41,0,12,5,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Phycidae;g__Urophycis;s__Urophycis tenuis (white hake),Urophycis tenuis,0,0,0,0,41,23,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Anthoathecata;f__Hydractiniidae;g__Clava;s__Clava multicornis (club hydroid),Clava multicornis,6,0,0,5,11,11,0,0,20,0,0,0,0,0,0,0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Anthoathecata;f__Tubulariidae;g__Tubularia;s__Tubularia indivisa (hydrozoans),Tubularia indivisa,0,4,0,8,0,0,0,0,0,0,0,13,3,0,0,21
k__Metazoa;p__Annelida;c__Polychaeta;o__Terebellida;f__Flabelligeridae;g__Pherusa;s__Pherusa affinis (polychaetes),Pherusa affinis,0,16,0,5,0,25,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Hemichordata;c__Enteropneusta;o__unclassified Enteropneusta order;f__Harrimaniidae;g__Stereobalanus;s__Stereobalanus canadensis (acorn worms),Stereobalanus canadensis,0,0,0,0,0,20,16,10,0,0,0,0,0,0,0,0
k__Metazoa;p__Annelida;c__Polychaeta;o__Terebellida;f__Cirratulidae;g__Dodecaceria;s__Dodecaceria concharum (polychaetes),Dodecaceria concharum,17,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Mollusca;c__Gastropoda;o__Littorinimorpha;f__Littorinidae;g__Littorina;s__Littorina saxatilis (gastropods),Littorina saxatilis,7,0,0,13,7,14,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Campanulariidae;g__Gonothyraea;s__Gonothyraea loveni (hydrozoans),Gonothyraea loveni,12,0,0,0,23,9,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Metridinidae;g__Metridia;s__Metridia lucens (copepods),Metridia lucens,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,37
k__Metazoa;p__Chordata;c__Actinopteri;o__Pleuronectiformes;f__Pleuronectidae;g__Pseudopleuronectes;s__Pseudopleuronectes americanus (winter flounder),Pseudopleuronectes americanus,0,9,0,0,0,0,0,0,0,0,0,0,0,0,12,18
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Cheilostomatida;f__Bugulidae;g__Dendrobeania;s__Dendrobeania murrayana (bryozoans),Dendrobeania murrayana,0,7,0,5,0,2,12,13,0,0,0,0,0,0,0,0
k__Metazoa;p__Nematoda;c__Chromadorea;o__Monhysterida;f__Xyalidae;g__Daptonema;s__Daptonema setosum (roundworms),Daptonema setosum,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Nemertea;c__Pilidiophora;o__Heteronemertea;f__Lineidae;g__Lineus;s__Lineus viridis (heteronemertine worms),Lineus viridis,0,0,0,0,0,0,0,0,10,0,23,0,0,0,0,0
"k__Metazoa;p__Arthropoda;c__Malacostraca;o__Amphipoda;f__Gammaridae;g__Gammarus;s__Gammarus lawrencianus (beach hoppers, scuds and well shrimps)",Gammarus lawrencianus,0,0,0,0,0,0,0,0,25,7,0,0,0,0,0,0
k__Metazoa;p__Annelida;c__Polychaeta;o__unclassified Polychaeta order;f__Opheliidae;g__Ophelina;s__Ophelina acuminata (polychaetes),Ophelina acuminata,0,0,0,0,0,6,6,15,0,0,0,0,0,0,0,0
k__Metazoa;p__Annelida;c__Polychaeta;o__Terebellida;f__Sternaspidae;g__Sternaspis;s__Sternaspis scutata (polychaetes),Sternaspis scutata,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0
"k__Metazoa;p__Arthropoda;c__Malacostraca;o__Amphipoda;f__Talitridae;g__Orchestia;s__Orchestia grillus (beach hoppers, scuds and well shrimps)",Orchestia grillus,9,0,0,2,6,3,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Leptothecata;f__Clytiidae;g__Clytia;s__Clytia hemisphaerica (hydrozoans),Clytia hemisphaerica,0,0,0,0,3,11,5,2,0,0,0,0,0,0,0,0
k__Metazoa;p__Arthropoda;c__Thecostraca;o__Balanomorpha;f__Balanidae;g__Balanus;s__Balanus balanus (acorn barnacles),Balanus balanus,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0
k__Metazoa;p__Mollusca;c__Bivalvia;o__Mytilida;f__Mytilidae;g__Mytilus;s__Mytilus edulis (blue mussel),Mytilus edulis,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Anthoathecata;f__Bougainvilliidae;g__Bougainvillia;s__Bougainvillia muscus (hydrozoans),Bougainvillia muscus,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0
k__Metazoa;p__Chordata;c__Chondrichthyes;o__Squaliformes;f__Squalidae;g__Squalus;s__Squalus acanthias (spiny dogfish),Squalus acanthias,6,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Annelida;c__Polychaeta;o__Phyllodocida;f__Syllidae;g__Myrianida;s__Myrianida prolifera (polychaetes),Myrianida prolifera,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Annelida;c__Polychaeta;o__Terebellida;f__Terebellidae;g__Polycirrus;s__Polycirrus eximius (polychaetes),Polycirrus eximius,0,0,0,0,0,6,2,7,0,0,0,0,0,0,0,0
"k__Metazoa;p__Arthropoda;c__Malacostraca;o__Amphipoda;f__Corophiidae;g__Monocorophium;s__Monocorophium insidiosum (beach hoppers, scuds and well shrimps)",Monocorophium insidiosum,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Arthropoda;c__Branchiopoda;o__Diplostraca;f__Podonidae;g__Evadne;s__Evadne nordmanni (water fleas),Evadne nordmanni,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Mollusca;c__Bivalvia;o__Nuculanida sp.;f__Yoldiidae;g__Yoldia;s__Yoldia limatula (file yoldia),Yoldia limatula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
k__Metazoa;p__Cnidaria;c__Hydrozoa;o__Anthoathecata;f__Pandeidae;g__Leuckartiara;s__Leuckartiara octona (hydrozoans),Leuckartiara octona,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Cheilostomatida;f__Candidae;g__Caberea;s__Caberea ellisii (bryozoans),Caberea ellisii,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Bryozoa;c__Gymnolaemata;o__Ctenostomatida;f__Vesiculariidae;g__Amathia;s__Amathia imbricata (bryozoans),Amathia imbricata,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Arthropoda;c__Malacostraca;o__Euphausiacea;f__Euphausiidae;g__Meganyctiphanes;s__Meganyctiphanes norvegica (krill),Meganyctiphanes norvegica,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Anguilliformes;f__Anguillidae;g__Anguilla;s__Anguilla rostrata (American eel),Anguilla rostrata,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Merlucciidae;g__Merluccius;s__Merluccius bilinearis (silver hake),Merluccius bilinearis,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Tautogolabrus;s__Tautogolabrus adspersus (cunner),Tautogolabrus adspersus,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0
k__Metazoa;p__Mollusca;c__Cephalopoda;o__Oegopsida;f__Ommastrephidae;g__Illex;s__Illex coindetii (arrow squids),Illex coindetii,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Echinodermata;c__Asteroidea;o__Spinulosida;f__Echinasteridae;g__Henricia;s__Henricia sanguinolenta (starfishes),Henricia sanguinolenta,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Zoarcidae;g__Zoarces;s__Zoarces americanus (ocean pout),Zoarces americanus,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Arthropoda;c__Malacostraca;o__Mysida;f__Mysidae;g__Neomysis;s__Neomysis americana (opossum shrimps),Neomysis americana,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Mollusca;c__Gastropoda;o__Nudibranchia;f__Onchidorididae;g__Onchidoris;s__Onchidoris muricata (gastropods),Onchidoris muricata,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Mollusca;c__Gastropoda;o__Littorinimorpha;f__Calyptraeidae;g__Crepidula;s__Crepidula plana (eastern white slippersnail),Crepidula plana,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Brevoortia;s__Brevoortia patronus (Gulf menhaden),Brevoortia patronus,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
